Nutrient group,Variable,Value,Commodity
Fiber (g) - Total population - Household income > 300% poverty line,Total - 2015–16,17.52,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population,Total - 2015–16,13.96,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Children age 2–19,Total - 2015–16,13.79,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Adults age 20–64,Total - 2015–16,14.17,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Seniors age 65 and above,Total - 2015–16,13.45,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income < 185% poverty line,Total - 2015–16,13.75,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income 185–300% poverty line,Total - 2015–16,14.06,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income > 300% poverty line,Total - 2015–16,14.13,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population,Total - 2015–16,27.06,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Children age 2–19,Total - 2015–16,25.72,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Adults age 20–64,Total - 2015–16,28.30,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Seniors age 65 and above,Total - 2015–16,24.41,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income < 185% poverty line,Total - 2015–16,25.97,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income 185–300% poverty line,Total - 2015–16,27.48,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income > 300% poverty line,Total - 2015–16,27.92,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population,Total - 2015–16,81.44,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Children age 2–19,Total - 2015–16,73.10,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Adults age 20–64,Total - 2015–16,86.86,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Seniors age 65 and above,Total - 2015–16,73.65,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income < 185% poverty line,Total - 2015–16,77.71,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income 185–300% poverty line,Total - 2015–16,80.85,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income > 300% poverty line,Total - 2015–16,85.29,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population,Total - 2015–16,3410.57,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Children age 2–19,Total - 2015–16,3013.24,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Adults age 20–64,Total - 2015–16,3693.89,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Seniors age 65 and above,Total - 2015–16,2946.60,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income < 185% poverty line,Total - 2015–16,3312.31,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income 185–300% poverty line,Total - 2015–16,3393.50,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income > 300% poverty line,Total - 2015–16,3512.72,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population,At home - 2015–16,1369.60,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Children age 2–19,At home - 2015–16,1180.14,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Adults age 20–64,At home - 2015–16,1444.17,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Seniors age 65 and above,At home - 2015–16,1374.88,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income < 185% poverty line,At home - 2015–16,1373.99,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income 185–300% poverty line,At home - 2015–16,1375.25,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income > 300% poverty line,At home - 2015–16,1362.92,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population,At home - 2015–16,665.64,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Children age 2–19,At home - 2015–16,651.15,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Adults age 20–64,At home - 2015–16,673.35,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Seniors age 65 and above,At home - 2015–16,658.54,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income < 185% poverty line,At home - 2015–16,652.70,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income 185–300% poverty line,At home - 2015–16,692.03,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income > 300% poverty line,At home - 2015–16,666.69,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population,At home - 2015–16,183.76,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Children age 2–19,At home - 2015–16,142.12,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Adults age 20–64,At home - 2015–16,198.70,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Seniors age 65 and above,At home - 2015–16,190.30,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income < 185% poverty line,At home - 2015–16,188.93,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income 185–300% poverty line,At home - 2015–16,197.01,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income > 300% poverty line,At home - 2015–16,173.03,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population,At home - 2015–16,11.80,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Children age 2–19,At home - 2015–16,9.34,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Adults age 20–64,At home - 2015–16,12.34,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Seniors age 65 and above,At home - 2015–16,13.49,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income < 185% poverty line,At home - 2015–16,11.31,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income 185–300% poverty line,At home - 2015–16,11.39,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income > 300% poverty line,At home - 2015–16,12.45,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population,At home - 2015–16,9.95,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Children age 2–19,At home - 2015–16,9.61,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Adults age 20–64,At home - 2015–16,9.85,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Seniors age 65 and above,At home - 2015–16,10.84,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income < 185% poverty line,At home - 2015–16,10.02,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income 185–300% poverty line,At home - 2015–16,10.15,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income > 300% poverty line,At home - 2015–16,9.79,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population,At home - 2015–16,17.41,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Children age 2–19,At home - 2015–16,15.94,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Adults age 20–64,At home - 2015–16,17.77,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Seniors age 65 and above,At home - 2015–16,18.25,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income < 185% poverty line,At home - 2015–16,17.26,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income 185–300% poverty line,At home - 2015–16,18.17,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income > 300% poverty line,At home - 2015–16,17.22,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population,At home - 2015–16,51.95,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Children age 2–19,At home - 2015–16,44.89,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Adults age 20–64,At home - 2015–16,54.19,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Seniors age 65 and above,At home - 2015–16,54.19,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income < 185% poverty line,At home - 2015–16,51.35,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income 185–300% poverty line,At home - 2015–16,52.82,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income > 300% poverty line,At home - 2015–16,52.16,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population,At home - 2015–16,2138.74,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Children age 2–19,At home - 2015–16,1832.94,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Adults age 20–64,At home - 2015–16,2271.50,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Seniors age 65 and above,At home - 2015–16,2100.85,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income < 185% poverty line,At home - 2015–16,2159.75,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income 185–300% poverty line,At home - 2015–16,2196.14,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income > 300% poverty line,At home - 2015–16,2093.61,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population,Away from home-Total-2015–16,678.64,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Children age 2–19,Away from home-Total-2015–16,688.64,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Adults age 20–64,Away from home-Total-2015–16,742.83,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Seniors age 65 and above,Away from home-Total-2015–16,423.41,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income < 185% poverty line,Away from home-Total-2015–16,618.10,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income 185–300% poverty line,Away from home-Total-2015–16,653.75,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income > 300% poverty line,Away from home-Total-2015–16,747.79,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population,Away from home-Total-2015–16,290.80,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Children age 2–19,Away from home-Total-2015–16,328.01,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Adults age 20–64,Away from home-Total-2015–16,305.43,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Seniors age 65 and above,Away from home-Total-2015–16,180.23,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income < 185% poverty line,Away from home-Total-2015–16,266.70,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income 185–300% poverty line,Away from home-Total-2015–16,285.13,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income > 300% poverty line,Away from home-Total-2015–16,316.50,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population,Away from home-Total-2015–16,98.33,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Children age 2–19,Away from home-Total-2015–16,83.01,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Adults age 20–64,Away from home-Total-2015–16,113.95,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Seniors age 65 and above,Away from home-Total-2015–16,62.88,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income < 185% poverty line,Away from home-Total-2015–16,87.97,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income 185–300% poverty line,Away from home-Total-2015–16,96.27,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income > 300% poverty line,Away from home-Total-2015–16,109.22,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population,Away from home-Total-2015–16,4.69,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Children age 2–19,Away from home-Total-2015–16,4.68,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Adults age 20–64,Away from home-Total-2015–16,5.10,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Seniors age 65 and above,Away from home-Total-2015–16,3.18,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income < 185% poverty line,Away from home-Total-2015–16,4.31,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income 185–300% poverty line,Away from home-Total-2015–16,4.70,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income > 300% poverty line,Away from home-Total-2015–16,5.06,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population,Away from home-Total-2015–16,4.01,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Children age 2–19,Away from home-Total-2015–16,4.18,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Adults age 20–64,Away from home-Total-2015–16,4.32,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Seniors age 65 and above,Away from home-Total-2015–16,2.60,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income < 185% poverty line,Away from home-Total-2015–16,3.73,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income 185–300% poverty line,Away from home-Total-2015–16,3.91,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income > 300% poverty line,Away from home-Total-2015–16,4.33,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population,Away from home-Total-2015–16,9.65,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Children age 2–19,Away from home-Total-2015–16,9.78,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Adults age 20–64,Away from home-Total-2015–16,10.53,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Seniors age 65 and above,Away from home-Total-2015–16,6.17,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income < 185% poverty line,Away from home-Total-2015–16,8.71,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income 185–300% poverty line,Away from home-Total-2015–16,9.32,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income > 300% poverty line,Away from home-Total-2015–16,10.70,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population,Away from home-Total-2015–16,29.48,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Children age 2–19,Away from home-Total-2015–16,28.21,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Adults age 20–64,Away from home-Total-2015–16,32.68,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Seniors age 65 and above,Away from home-Total-2015–16,19.45,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income < 185% poverty line,Away from home-Total-2015–16,26.36,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income 185–300% poverty line,Away from home-Total-2015–16,28.03,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income > 300% poverty line,Away from home-Total-2015–16,33.13,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population,Away from home-Total-2015–16,1271.83,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Children age 2–19,Away from home-Total-2015–16,1180.30,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Adults age 20–64,Away from home-Total-2015–16,1422.40,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Seniors age 65 and above,Away from home-Total-2015–16,845.76,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income < 185% poverty line,Away from home-Total-2015–16,1152.56,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income 185–300% poverty line,Away from home-Total-2015–16,1197.36,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income > 300% poverty line,Away from home-Total-2015–16,1419.11,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population,Away from home-Restaurant-2015–16,178.61,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Children age 2–19,Away from home-Restaurant-2015–16,112.21,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Adults age 20–64,Away from home-Restaurant-2015–16,208.91,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Seniors age 65 and above,Away from home-Restaurant-2015–16,164.91,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2015–16,133.58,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2015–16,158.30,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2015–16,230.84,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population,Away from home-Restaurant-2015–16,60.10,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Children age 2–19,Away from home-Restaurant-2015–16,35.79,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Adults age 20–64,Away from home-Restaurant-2015–16,70.28,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Seniors age 65 and above,Away from home-Restaurant-2015–16,58.49,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2015–16,46.10,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2015–16,53.18,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2015–16,76.59,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population,Away from home-Restaurant-2015–16,33.27,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Children age 2–19,Away from home-Restaurant-2015–16,19.89,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Adults age 20–64,Away from home-Restaurant-2015–16,40.03,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Seniors age 65 and above,Away from home-Restaurant-2015–16,28.05,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2015–16,26.75,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2015–16,28.30,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2015–16,41.71,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population,Away from home-Restaurant-2015–16,1.27,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Children age 2–19,Away from home-Restaurant-2015–16,0.69,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Adults age 20–64,Away from home-Restaurant-2015–16,1.46,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
