Commodity,Year,Attribute,Value
Refined cane and beet sugar: Per capita availability adjusted for loss,2017,Primary weight-Lbs/year,69.26363884
Refined cane and beet sugar: Per capita availability adjusted for loss,2018,Primary weight-Lbs/year,68.66380298
Refined cane and beet sugar: Per capita availability adjusted for loss,2019,Primary weight-Lbs/year,68.43750051
Refined cane and beet sugar: Per capita availability adjusted for loss,2020,Primary weight-Lbs/year,68.7780776
Refined cane and beet sugar: Per capita availability adjusted for loss,2021,Primary weight-Lbs/year,69.74364343
Refined cane and beet sugar: Per capita availability adjusted for loss,1970,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1971,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1972,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1973,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1974,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1975,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1976,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1977,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1978,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1979,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1980,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1981,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1982,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1983,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1984,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1985,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1986,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1987,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1988,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1989,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1990,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1991,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1992,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1993,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1994,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1995,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1996,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1997,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1998,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1999,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,2000,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,2001,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,2002,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,2003,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,2004,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,2005,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,2006,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,2007,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,2008,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,2009,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,2010,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,2011,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,2012,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,2013,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,2014,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,2015,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,2016,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,2017,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,2018,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,2019,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,2020,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,2021,Loss from primary to retail weight-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1970,Retail weight-Lbs/year,101.7567279
Refined cane and beet sugar: Per capita availability adjusted for loss,1971,Retail weight-Lbs/year,102.1164661
Refined cane and beet sugar: Per capita availability adjusted for loss,1972,Retail weight-Lbs/year,102.2936504
Refined cane and beet sugar: Per capita availability adjusted for loss,1973,Retail weight-Lbs/year,100.8103328
Refined cane and beet sugar: Per capita availability adjusted for loss,1974,Retail weight-Lbs/year,95.66313431
Refined cane and beet sugar: Per capita availability adjusted for loss,1975,Retail weight-Lbs/year,89.15963924
Refined cane and beet sugar: Per capita availability adjusted for loss,1976,Retail weight-Lbs/year,93.38293239
Refined cane and beet sugar: Per capita availability adjusted for loss,1977,Retail weight-Lbs/year,94.19673351
Refined cane and beet sugar: Per capita availability adjusted for loss,1978,Retail weight-Lbs/year,91.4404431
Refined cane and beet sugar: Per capita availability adjusted for loss,1979,Retail weight-Lbs/year,89.33226499
Refined cane and beet sugar: Per capita availability adjusted for loss,1980,Retail weight-Lbs/year,83.63059033
Refined cane and beet sugar: Per capita availability adjusted for loss,1981,Retail weight-Lbs/year,79.40222939
Refined cane and beet sugar: Per capita availability adjusted for loss,1982,Retail weight-Lbs/year,73.68344279
Refined cane and beet sugar: Per capita availability adjusted for loss,1983,Retail weight-Lbs/year,70.29678173
Refined cane and beet sugar: Per capita availability adjusted for loss,1984,Retail weight-Lbs/year,66.65286369
Refined cane and beet sugar: Per capita availability adjusted for loss,1985,Retail weight-Lbs/year,62.72960718
Refined cane and beet sugar: Per capita availability adjusted for loss,1986,Retail weight-Lbs/year,60.0474018
Refined cane and beet sugar: Per capita availability adjusted for loss,1987,Retail weight-Lbs/year,62.37868566
Refined cane and beet sugar: Per capita availability adjusted for loss,1988,Retail weight-Lbs/year,62.06601326
Refined cane and beet sugar: Per capita availability adjusted for loss,1989,Retail weight-Lbs/year,62.75317304
Refined cane and beet sugar: Per capita availability adjusted for loss,1990,Retail weight-Lbs/year,64.37722378
Refined cane and beet sugar: Per capita availability adjusted for loss,1991,Retail weight-Lbs/year,63.57527762
Refined cane and beet sugar: Per capita availability adjusted for loss,1992,Retail weight-Lbs/year,64.21791191
Refined cane and beet sugar: Per capita availability adjusted for loss,1993,Retail weight-Lbs/year,63.819507
Refined cane and beet sugar: Per capita availability adjusted for loss,1994,Retail weight-Lbs/year,64.36704448
Refined cane and beet sugar: Per capita availability adjusted for loss,1995,Retail weight-Lbs/year,64.92004666
Refined cane and beet sugar: Per capita availability adjusted for loss,1996,Retail weight-Lbs/year,65.02252375
Refined cane and beet sugar: Per capita availability adjusted for loss,1997,Retail weight-Lbs/year,64.87859393
Refined cane and beet sugar: Per capita availability adjusted for loss,1998,Retail weight-Lbs/year,64.93017593
Refined cane and beet sugar: Per capita availability adjusted for loss,1999,Retail weight-Lbs/year,66.28984697
Refined cane and beet sugar: Per capita availability adjusted for loss,2000,Retail weight-Lbs/year,65.52551427
Refined cane and beet sugar: Per capita availability adjusted for loss,2001,Retail weight-Lbs/year,64.45732813
Refined cane and beet sugar: Per capita availability adjusted for loss,2002,Retail weight-Lbs/year,63.2046456
Refined cane and beet sugar: Per capita availability adjusted for loss,2003,Retail weight-Lbs/year,60.84966161
Refined cane and beet sugar: Per capita availability adjusted for loss,2004,Retail weight-Lbs/year,61.53276198
Refined cane and beet sugar: Per capita availability adjusted for loss,2005,Retail weight-Lbs/year,62.95938814
Refined cane and beet sugar: Per capita availability adjusted for loss,2006,Retail weight-Lbs/year,62.11451308
Refined cane and beet sugar: Per capita availability adjusted for loss,2007,Retail weight-Lbs/year,61.12388907
Refined cane and beet sugar: Per capita availability adjusted for loss,2008,Retail weight-Lbs/year,65.03478114
Refined cane and beet sugar: Per capita availability adjusted for loss,2009,Retail weight-Lbs/year,63.36281051
Refined cane and beet sugar: Per capita availability adjusted for loss,2010,Retail weight-Lbs/year,65.915045
Refined cane and beet sugar: Per capita availability adjusted for loss,2011,Retail weight-Lbs/year,65.87858678
Refined cane and beet sugar: Per capita availability adjusted for loss,2012,Retail weight-Lbs/year,66.62762678
Refined cane and beet sugar: Per capita availability adjusted for loss,2013,Retail weight-Lbs/year,67.99687303
Refined cane and beet sugar: Per capita availability adjusted for loss,2014,Retail weight-Lbs/year,68.43035414
Refined cane and beet sugar: Per capita availability adjusted for loss,2015,Retail weight-Lbs/year,69.23852469
Refined cane and beet sugar: Per capita availability adjusted for loss,2016,Retail weight-Lbs/year,69.798961
Refined cane and beet sugar: Per capita availability adjusted for loss,2017,Retail weight-Lbs/year,69.26363884
Refined cane and beet sugar: Per capita availability adjusted for loss,2018,Retail weight-Lbs/year,68.66380298
Refined cane and beet sugar: Per capita availability adjusted for loss,2019,Retail weight-Lbs/year,68.43750051
Refined cane and beet sugar: Per capita availability adjusted for loss,2020,Retail weight-Lbs/year,68.7780776
Refined cane and beet sugar: Per capita availability adjusted for loss,2021,Retail weight-Lbs/year,69.74364343
Refined cane and beet sugar: Per capita availability adjusted for loss,1970,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1971,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1972,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1973,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1974,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1975,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1976,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1977,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1978,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1979,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1980,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1981,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1982,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1983,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1984,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1985,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1986,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1987,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1988,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1989,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1990,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1991,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1992,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1993,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1994,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1995,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1996,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1997,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1998,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1999,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,2000,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,2001,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,2002,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,2003,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,2004,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,2005,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,2006,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,2007,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,2008,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,2009,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,2010,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,2011,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,2012,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,2013,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,2014,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,2015,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,2016,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,2017,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,2018,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,2019,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,2020,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,2021,Loss from retail/ institutional to consumer level-Percent,11
Refined cane and beet sugar: Per capita availability adjusted for loss,1970,Consumer weight-Lbs/year,90.56348779
Refined cane and beet sugar: Per capita availability adjusted for loss,1971,Consumer weight-Lbs/year,90.88365487
Refined cane and beet sugar: Per capita availability adjusted for loss,1972,Consumer weight-Lbs/year,91.04134883
Refined cane and beet sugar: Per capita availability adjusted for loss,1973,Consumer weight-Lbs/year,89.72119623
Refined cane and beet sugar: Per capita availability adjusted for loss,1974,Consumer weight-Lbs/year,85.14018954
Refined cane and beet sugar: Per capita availability adjusted for loss,1975,Consumer weight-Lbs/year,79.35207893
Refined cane and beet sugar: Per capita availability adjusted for loss,1976,Consumer weight-Lbs/year,83.11080983
Refined cane and beet sugar: Per capita availability adjusted for loss,1977,Consumer weight-Lbs/year,83.83509283
Refined cane and beet sugar: Per capita availability adjusted for loss,1978,Consumer weight-Lbs/year,81.38199436
Refined cane and beet sugar: Per capita availability adjusted for loss,1979,Consumer weight-Lbs/year,79.50571584
Refined cane and beet sugar: Per capita availability adjusted for loss,1980,Consumer weight-Lbs/year,74.43122539
Refined cane and beet sugar: Per capita availability adjusted for loss,1981,Consumer weight-Lbs/year,70.66798416
Refined cane and beet sugar: Per capita availability adjusted for loss,1982,Consumer weight-Lbs/year,65.57826408
Refined cane and beet sugar: Per capita availability adjusted for loss,1983,Consumer weight-Lbs/year,62.56413574
Refined cane and beet sugar: Per capita availability adjusted for loss,1984,Consumer weight-Lbs/year,59.32104869
Refined cane and beet sugar: Per capita availability adjusted for loss,1985,Consumer weight-Lbs/year,55.82935039
Refined cane and beet sugar: Per capita availability adjusted for loss,1986,Consumer weight-Lbs/year,53.4421876
Refined cane and beet sugar: Per capita availability adjusted for loss,1987,Consumer weight-Lbs/year,55.51703024
Refined cane and beet sugar: Per capita availability adjusted for loss,1988,Consumer weight-Lbs/year,55.2387518
Refined cane and beet sugar: Per capita availability adjusted for loss,1989,Consumer weight-Lbs/year,55.85032401
Refined cane and beet sugar: Per capita availability adjusted for loss,1990,Consumer weight-Lbs/year,57.29572916
Refined cane and beet sugar: Per capita availability adjusted for loss,1991,Consumer weight-Lbs/year,56.58199708
Refined cane and beet sugar: Per capita availability adjusted for loss,1992,Consumer weight-Lbs/year,57.1539416
Refined cane and beet sugar: Per capita availability adjusted for loss,1993,Consumer weight-Lbs/year,56.79936123
Refined cane and beet sugar: Per capita availability adjusted for loss,1994,Consumer weight-Lbs/year,57.28666958
Refined cane and beet sugar: Per capita availability adjusted for loss,1995,Consumer weight-Lbs/year,57.77884153
Refined cane and beet sugar: Per capita availability adjusted for loss,1996,Consumer weight-Lbs/year,57.87004614
Refined cane and beet sugar: Per capita availability adjusted for loss,1997,Consumer weight-Lbs/year,57.74194859
Refined cane and beet sugar: Per capita availability adjusted for loss,1998,Consumer weight-Lbs/year,57.78785657
Refined cane and beet sugar: Per capita availability adjusted for loss,1999,Consumer weight-Lbs/year,58.99796381
Refined cane and beet sugar: Per capita availability adjusted for loss,2000,Consumer weight-Lbs/year,58.3177077
Refined cane and beet sugar: Per capita availability adjusted for loss,2001,Consumer weight-Lbs/year,57.36702204
Refined cane and beet sugar: Per capita availability adjusted for loss,2002,Consumer weight-Lbs/year,56.25213458
Refined cane and beet sugar: Per capita availability adjusted for loss,2003,Consumer weight-Lbs/year,54.15619883
Refined cane and beet sugar: Per capita availability adjusted for loss,2004,Consumer weight-Lbs/year,54.76415816
Refined cane and beet sugar: Per capita availability adjusted for loss,2005,Consumer weight-Lbs/year,56.03385544
Refined cane and beet sugar: Per capita availability adjusted for loss,2006,Consumer weight-Lbs/year,55.28191664
Refined cane and beet sugar: Per capita availability adjusted for loss,2007,Consumer weight-Lbs/year,54.40026127
Refined cane and beet sugar: Per capita availability adjusted for loss,2008,Consumer weight-Lbs/year,57.88095522
Refined cane and beet sugar: Per capita availability adjusted for loss,2009,Consumer weight-Lbs/year,56.39290136
Refined cane and beet sugar: Per capita availability adjusted for loss,2010,Consumer weight-Lbs/year,58.66439005
Refined cane and beet sugar: Per capita availability adjusted for loss,2011,Consumer weight-Lbs/year,58.63194223
Refined cane and beet sugar: Per capita availability adjusted for loss,2012,Consumer weight-Lbs/year,59.29858783
Refined cane and beet sugar: Per capita availability adjusted for loss,2013,Consumer weight-Lbs/year,60.517217
Refined cane and beet sugar: Per capita availability adjusted for loss,2014,Consumer weight-Lbs/year,60.90301518
Refined cane and beet sugar: Per capita availability adjusted for loss,2015,Consumer weight-Lbs/year,61.62228698
Refined cane and beet sugar: Per capita availability adjusted for loss,2016,Consumer weight-Lbs/year,62.12107529
Refined cane and beet sugar: Per capita availability adjusted for loss,2017,Consumer weight-Lbs/year,61.64463856
Refined cane and beet sugar: Per capita availability adjusted for loss,2018,Consumer weight-Lbs/year,61.11078465
Refined cane and beet sugar: Per capita availability adjusted for loss,2019,Consumer weight-Lbs/year,60.90937545
Refined cane and beet sugar: Per capita availability adjusted for loss,2020,Consumer weight-Lbs/year,61.21248907
Refined cane and beet sugar: Per capita availability adjusted for loss,2021,Consumer weight-Lbs/year,62.07184265
Refined cane and beet sugar: Per capita availability adjusted for loss,1970,Loss at consumer level-Nonedible share-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1971,Loss at consumer level-Nonedible share-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1972,Loss at consumer level-Nonedible share-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1973,Loss at consumer level-Nonedible share-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1974,Loss at consumer level-Nonedible share-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1975,Loss at consumer level-Nonedible share-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1976,Loss at consumer level-Nonedible share-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1977,Loss at consumer level-Nonedible share-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1978,Loss at consumer level-Nonedible share-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1979,Loss at consumer level-Nonedible share-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1980,Loss at consumer level-Nonedible share-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1981,Loss at consumer level-Nonedible share-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1982,Loss at consumer level-Nonedible share-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1983,Loss at consumer level-Nonedible share-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1984,Loss at consumer level-Nonedible share-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1985,Loss at consumer level-Nonedible share-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1986,Loss at consumer level-Nonedible share-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1987,Loss at consumer level-Nonedible share-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1988,Loss at consumer level-Nonedible share-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1989,Loss at consumer level-Nonedible share-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1990,Loss at consumer level-Nonedible share-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1991,Loss at consumer level-Nonedible share-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1992,Loss at consumer level-Nonedible share-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1993,Loss at consumer level-Nonedible share-Percent,0
Refined cane and beet sugar: Per capita availability adjusted for loss,1994,Loss at consumer level-Nonedible share-Percent,0
