Nutrient group,Variable,Value,Commodity
"Fiber (g/1,000 calories) - Total population - Children age 2–19",Total - 2015–16,7.74,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Adults age 20–64",Total - 2015–16,8.27,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Seniors age 65 and above",Total - 2015–16,9.44,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income < 185% poverty line",Total - 2015–16,8.14,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income 185–300% poverty line",Total - 2015–16,8.12,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income > 300% poverty line",Total - 2015–16,8.61,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population",Total - 2015–16,7.03,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Children age 2–19",Total - 2015–16,7.62,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Adults age 20–64",Total - 2015–16,6.66,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Seniors age 65 and above",Total - 2015–16,7.53,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income < 185% poverty line",Total - 2015–16,7.14,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Total - 2015–16,7.15,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income > 300% poverty line",Total - 2015–16,6.88,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population,Total - 2015–16,12.99,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Children age 2–19,Total - 2015–16,13.46,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Adults age 20–64,Total - 2015–16,12.73,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Seniors age 65 and above,Total - 2015–16,13.26,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income < 185% poverty line,Total - 2015–16,12.74,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income 185–300% poverty line,Total - 2015–16,13.43,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income > 300% poverty line,Total - 2015–16,13.04,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population,Total - 2015–16,39.21,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Children age 2–19,Total - 2015–16,38.42,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Adults age 20–64,Total - 2015–16,39.26,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Seniors age 65 and above,Total - 2015–16,40.2,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income < 185% poverty line,Total - 2015–16,38.26,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income 185–300% poverty line,Total - 2015–16,39.49,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income > 300% poverty line,Total - 2015–16,40,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population",Total - 2015–16,1693.63,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Children age 2–19",Total - 2015–16,1625.65,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Adults age 20–64",Total - 2015–16,1724.89,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Seniors age 65 and above",Total - 2015–16,1678.64,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income < 185% poverty line",Total - 2015–16,1688.4,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Total - 2015–16,1691.47,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income > 300% poverty line",Total - 2015–16,1699.6,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population",At home - 2015–16,535.39,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Children age 2–19",At home - 2015–16,575.34,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Adults age 20–64",At home - 2015–16,526.67,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Seniors age 65 and above",At home - 2015–16,508.88,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income < 185% poverty line",At home - 2015–16,541.44,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income 185–300% poverty line",At home - 2015–16,547.89,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income > 300% poverty line",At home - 2015–16,524.21,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population",At home - 2015–16,127.78,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Children age 2–19",At home - 2015–16,115.49,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Adults age 20–64",At home - 2015–16,128.4,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Seniors age 65 and above",At home - 2015–16,143.61,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income < 185% poverty line",At home - 2015–16,130.66,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income 185–300% poverty line",At home - 2015–16,132.6,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income > 300% poverty line",At home - 2015–16,122.95,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population",At home - 2015–16,8.75,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Children age 2–19",At home - 2015–16,8.06,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Adults age 20–64",At home - 2015–16,8.69,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Seniors age 65 and above",At home - 2015–16,9.96,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income < 185% poverty line",At home - 2015–16,8.31,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income 185–300% poverty line",At home - 2015–16,8.46,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income > 300% poverty line",At home - 2015–16,9.29,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population",At home - 2015–16,7.54,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Children age 2–19",At home - 2015–16,8.63,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Adults age 20–64",At home - 2015–16,7,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Seniors age 65 and above",At home - 2015–16,7.96,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income < 185% poverty line",At home - 2015–16,7.6,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income 185–300% poverty line",At home - 2015–16,7.56,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income > 300% poverty line",At home - 2015–16,7.47,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population,At home - 2015–16,12.09,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Children age 2–19,At home - 2015–16,12.64,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Adults age 20–64,At home - 2015–16,11.64,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Seniors age 65 and above,At home - 2015–16,12.94,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income < 185% poverty line,At home - 2015–16,11.93,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income 185–300% poverty line,At home - 2015–16,12.32,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income > 300% poverty line,At home - 2015–16,12.14,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population,At home - 2015–16,36.25,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Children age 2–19,At home - 2015–16,35.87,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Adults age 20–64,At home - 2015–16,35.8,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Seniors age 65 and above,At home - 2015–16,38.5,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income < 185% poverty line,At home - 2015–16,35.56,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income 185–300% poverty line,At home - 2015–16,36.5,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income > 300% poverty line,At home - 2015–16,36.81,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population",At home - 2015–16,1533.14,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Children age 2–19",At home - 2015–16,1523.97,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Adults age 20–64",At home - 2015–16,1534.35,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Seniors age 65 and above",At home - 2015–16,1542.16,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income < 185% poverty line",At home - 2015–16,1560.2,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income 185–300% poverty line",At home - 2015–16,1552.41,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income > 300% poverty line",At home - 2015–16,1498.96,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population",Away from home-Total-2015–16,526.48,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Children age 2–19",Away from home-Total-2015–16,476.84,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Adults age 20–64",Away from home-Total-2015–16,573.27,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Total-2015–16,400.15,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Total-2015–16,429.14,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Total-2015–16,446.22,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Total-2015–16,643.41,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population",Away from home-Total-2015–16,134.12,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Children age 2–19",Away from home-Total-2015–16,110.26,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Adults age 20–64",Away from home-Total-2015–16,142.55,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Total-2015–16,142.25,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Total-2015–16,129.83,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Total-2015–16,145.37,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Total-2015–16,133.36,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population",Away from home-Total-2015–16,7.13,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Children age 2–19",Away from home-Total-2015–16,7.23,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Adults age 20–64",Away from home-Total-2015–16,6.98,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Total-2015–16,7.66,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Total-2015–16,7.38,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Total-2015–16,6.99,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Total-2015–16,6.96,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population",Away from home-Total-2015–16,6,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Children age 2–19",Away from home-Total-2015–16,5.95,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Adults age 20–64",Away from home-Total-2015–16,5.93,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Total-2015–16,6.4,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Total-2015–16,6.1,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Total-2015–16,6.08,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Total-2015–16,5.87,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population,Away from home-Total-2015–16,13.71,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Children age 2–19,Away from home-Total-2015–16,13.49,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Adults age 20–64,Away from home-Total-2015–16,13.82,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Seniors age 65 and above,Away from home-Total-2015–16,13.63,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income < 185% poverty line,Away from home-Total-2015–16,13.35,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income 185–300% poverty line,Away from home-Total-2015–16,13.87,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income > 300% poverty line,Away from home-Total-2015–16,13.97,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population,Away from home-Total-2015–16,41.18,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Children age 2–19,Away from home-Total-2015–16,38.71,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Adults age 20–64,Away from home-Total-2015–16,41.77,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Seniors age 65 and above,Away from home-Total-2015–16,43.43,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income < 185% poverty line,Away from home-Total-2015–16,39.89,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income 185–300% poverty line,Away from home-Total-2015–16,40.96,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income > 300% poverty line,Away from home-Total-2015–16,42.4,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population",Away from home-Total-2015–16,2115.6,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Children age 2–19",Away from home-Total-2015–16,1722.55,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Adults age 20–64",Away from home-Total-2015–16,2288.85,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Total-2015–16,2081.26,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Total-2015–16,1920.92,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Total-2015–16,1809.81,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Total-2015–16,2407.61,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population",Away from home-Restaurant-2015–16,356.35,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Children age 2–19",Away from home-Restaurant-2015–16,346.23,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Adults age 20–64",Away from home-Restaurant-2015–16,355.14,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Restaurant-2015–16,371.75,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Restaurant-2015–16,368.61,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Restaurant-2015–16,331.47,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Restaurant-2015–16,356.85,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population",Away from home-Restaurant-2015–16,182.74,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Children age 2–19",Away from home-Restaurant-2015–16,163.18,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Adults age 20–64",Away from home-Restaurant-2015–16,186.8,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Restaurant-2015–16,186.21,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Restaurant-2015–16,183.21,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Restaurant-2015–16,180.98,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Restaurant-2015–16,183.01,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population",Away from home-Restaurant-2015–16,7.55,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Children age 2–19",Away from home-Restaurant-2015–16,7.31,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Adults age 20–64",Away from home-Restaurant-2015–16,7.43,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Restaurant-2015–16,8.3,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Restaurant-2015–16,7.56,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Restaurant-2015–16,7.7,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Restaurant-2015–16,7.5,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population",Away from home-Restaurant-2015–16,6.1,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Children age 2–19",Away from home-Restaurant-2015–16,5.72,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Adults age 20–64",Away from home-Restaurant-2015–16,6.15,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Restaurant-2015–16,6.31,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Restaurant-2015–16,6.19,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Restaurant-2015–16,5.9,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Restaurant-2015–16,6.12,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population,Away from home-Restaurant-2015–16,13.6,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
