Food group,Variable,Value,Commodity
Grains: refined (oz) - Total population - Household income 185–300% poverty line,Total - 2015–16,5.36,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Household income > 300% poverty line,Total - 2015–16,5.44,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population,Total - 2015–16,0.91,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Children age 2–19,Total - 2015–16,0.87,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Adults age 20–64,Total - 2015–16,0.89,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Seniors age 65 and above,Total - 2015–16,1.07,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Household income < 185% poverty line,Total - 2015–16,0.81,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Household income 185–300% poverty line,Total - 2015–16,0.94,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Household income > 300% poverty line,Total - 2015–16,1.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population,Total - 2015–16,5.8,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Children age 2–19,Total - 2015–16,4.15,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Adults age 20–64,Total - 2015–16,6.6,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Seniors age 65 and above,Total - 2015–16,5.26,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Household income < 185% poverty line,Total - 2015–16,5.4,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Household income 185–300% poverty line,Total - 2015–16,5.67,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Household income > 300% poverty line,Total - 2015–16,6.23,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population,At home - 2015–16,11.31,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Children age 2–19,At home - 2015–16,10.33,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Adults age 20–64,At home - 2015–16,12.05,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Seniors age 65 and above,At home - 2015–16,10,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Household income < 185% poverty line,At home - 2015–16,11.97,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Household income 185–300% poverty line,At home - 2015–16,11.56,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Household income > 300% poverty line,At home - 2015–16,10.56,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population,At home - 2015–16,22.82,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Children age 2–19,At home - 2015–16,21.3,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Adults age 20–64,At home - 2015–16,22.95,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Seniors age 65 and above,At home - 2015–16,24.63,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Household income < 185% poverty line,At home - 2015–16,22.93,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Household income 185–300% poverty line,At home - 2015–16,23.88,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Household income > 300% poverty line,At home - 2015–16,22.26,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population,At home - 2015–16,16.3,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Children age 2–19,At home - 2015–16,13.36,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Adults age 20–64,At home - 2015–16,17.42,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Seniors age 65 and above,At home - 2015–16,16.51,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Household income < 185% poverty line,At home - 2015–16,15.9,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Household income 185–300% poverty line,At home - 2015–16,15.88,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Household income > 300% poverty line,At home - 2015–16,16.88,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population,At home - 2015–16,1.12,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Children age 2–19,At home - 2015–16,1.25,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Adults age 20–64,At home - 2015–16,1.08,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Seniors age 65 and above,At home - 2015–16,1.08,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Household income < 185% poverty line,At home - 2015–16,1.07,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Household income 185–300% poverty line,At home - 2015–16,1.2,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Household income > 300% poverty line,At home - 2015–16,1.13,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population,At home - 2015–16,0.8,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Children age 2–19,At home - 2015–16,0.71,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Adults age 20–64,At home - 2015–16,0.78,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Seniors age 65 and above,At home - 2015–16,0.99,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Household income < 185% poverty line,At home - 2015–16,0.77,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Household income 185–300% poverty line,At home - 2015–16,0.71,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Household income > 300% poverty line,At home - 2015–16,0.86,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population,At home - 2015–16,0.92,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Children age 2–19,At home - 2015–16,0.56,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Adults age 20–64,At home - 2015–16,1.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Seniors age 65 and above,At home - 2015–16,1.1,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Household income < 185% poverty line,At home - 2015–16,0.86,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Household income 185–300% poverty line,At home - 2015–16,0.95,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Household income > 300% poverty line,At home - 2015–16,0.97,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population,At home - 2015–16,0.22,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Children age 2–19,At home - 2015–16,0.18,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Adults age 20–64,At home - 2015–16,0.22,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Seniors age 65 and above,At home - 2015–16,0.26,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Household income < 185% poverty line,At home - 2015–16,0.22,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Household income 185–300% poverty line,At home - 2015–16,0.26,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Household income > 300% poverty line,At home - 2015–16,0.21,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population,At home - 2015–16,0.16,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Children age 2–19,At home - 2015–16,0.12,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Adults age 20–64,At home - 2015–16,0.17,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Seniors age 65 and above,At home - 2015–16,0.19,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Household income < 185% poverty line,At home - 2015–16,0.15,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Household income 185–300% poverty line,At home - 2015–16,0.16,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Household income > 300% poverty line,At home - 2015–16,0.17,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population,At home - 2015–16,0.07,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Children age 2–19,At home - 2015–16,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Adults age 20–64,At home - 2015–16,0.08,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Seniors age 65 and above,At home - 2015–16,0.08,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Household income < 185% poverty line,At home - 2015–16,0.06,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Household income 185–300% poverty line,At home - 2015–16,0.1,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Household income > 300% poverty line,At home - 2015–16,0.07,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population,At home - 2015–16,0.1,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Children age 2–19,At home - 2015–16,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Adults age 20–64,At home - 2015–16,0.12,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Seniors age 65 and above,At home - 2015–16,0.13,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Household income < 185% poverty line,At home - 2015–16,0.09,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Household income 185–300% poverty line,At home - 2015–16,0.07,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Household income > 300% poverty line,At home - 2015–16,0.12,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population,At home - 2015–16,4.15,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Children age 2–19,At home - 2015–16,4.24,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Adults age 20–64,At home - 2015–16,4.13,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Seniors age 65 and above,At home - 2015–16,4.09,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Household income < 185% poverty line,At home - 2015–16,4.33,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Household income 185–300% poverty line,At home - 2015–16,4.14,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Household income > 300% poverty line,At home - 2015–16,3.97,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population,At home - 2015–16,3.39,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Children age 2–19,At home - 2015–16,3.59,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Adults age 20–64,At home - 2015–16,3.39,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Seniors age 65 and above,At home - 2015–16,3.11,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Household income < 185% poverty line,At home - 2015–16,3.66,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Household income 185–300% poverty line,At home - 2015–16,3.38,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Household income > 300% poverty line,At home - 2015–16,3.13,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population,At home - 2015–16,0.76,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Children age 2–19,At home - 2015–16,0.65,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Adults age 20–64,At home - 2015–16,0.74,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Seniors age 65 and above,At home - 2015–16,0.99,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Household income < 185% poverty line,At home - 2015–16,0.67,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
